Node,In-Degree,Out-Degree,Eigenvector Centrality,Component ID
35ca3b35-0e1a-5f64-8e97-1b9cf94610a8_8,1,1,0.1010597156209453,2
35ca3b35-0e1a-5f64-8e97-1b9cf94610a8_2,2,6,0.17880418216966887,2
4ac83210-1139-50a2-8e34-7d75a4f218ea_2,0,2,-2.0816681711721676e-17,81
4ac83210-1139-50a2-8e34-7d75a4f218ea_5,1,0,-1.7780915628762263e-17,81
4ac83210-1139-50a2-8e34-7d75a4f218ea_3,1,1,-1.7455654977016612e-17,81
56e619fb-5617-5640-8f9e-12fba9d132c5_12,1,0,-1.0516761073109388e-17,82
56e619fb-5617-5640-8f9e-12fba9d132c5_11,0,1,0.0,82
1fa0238c-ec1f-50e3-9ad7-c7a54d9343f8_2,1,6,1.0408340855860838e-17,3
26021357-7920-5b93-9577-0016c895bfb4_2,1,0,3.469446951953613e-17,3
26021357-7920-5b93-9577-0016c895bfb4_3,1,0,4.163336342344335e-17,3
26021357-7920-5b93-9577-0016c895bfb4_4,1,0,1.387778780781445e-17,3
26021357-7920-5b93-9577-0016c895bfb4_5,1,0,2.77555756156289e-17,3
26021357-7920-5b93-9577-0016c895bfb4_7,1,0,3.1225022567582515e-17,3
26021357-7920-5b93-9577-0016c895bfb4_1,1,0,2.77555756156289e-17,3
5093e40c-1770-54dc-b4a3-c298b7d1ea72_4,0,0,3.4694469519536126e-18,83
65057428-9217-5ccd-a734-49887a5bde47_1,0,0,1.387778780781445e-17,84
33d63940-9b9f-5374-a78e-2f2fd996324d_1,0,8,0.0,63
33d63940-9b9f-5374-a78e-2f2fd996324d_2,2,0,2.77555756156289e-17,63
33d63940-9b9f-5374-a78e-2f2fd996324d_3,1,0,0.0,63
33d63940-9b9f-5374-a78e-2f2fd996324d_7,1,0,0.0,63
33d63940-9b9f-5374-a78e-2f2fd996324d_8,1,0,-3.4694469519536126e-18,63
33d63940-9b9f-5374-a78e-2f2fd996324d_9,1,0,-4.336808689942016e-19,63
07f4f9a9-8a39-57e0-9a31-5a7b141f1d19_4,0,0,-2.71050543121376e-20,85
23a00055-e860-5450-bd2d-731039098265_5,2,0,3.469446951953613e-17,48
6710e490-431f-55f3-8f92-754111182e71_7,1,0,1.0408340855860838e-17,2
6aa5730f-81e3-5c26-96e3-e316cf538fce_1,3,1,-1.387778780781445e-17,86
6aa5730f-81e3-5c26-96e3-e316cf538fce_4,2,0,-5.204170427930419e-18,86
3a297153-6ae3-5a4f-9c12-c8fc24e63ade_4,0,4,0.0,87
3a297153-6ae3-5a4f-9c12-c8fc24e63ade_2,2,1,4.5102810375396966e-17,87
3a297153-6ae3-5a4f-9c12-c8fc24e63ade_3,2,1,4.163336342344335e-17,87
