Node,In-Degree,Out-Degree,Eigenvector Centrality,Component ID
c9e2da87-1c2d-58fe-ad48-3033050276bd_2,1,2,0.5484317579318064,55
dc13d1b8-bfba-5858-bc51-df94056ae3bb_1,0,0,8.673617379884035e-19,56
4985d0da-256e-5172-8c5f-0ec156d0a94e_1,0,0,-1.3877787807814457e-17,57
19d200ca-fb01-5f04-9f17-4e7cff621e08_3,0,3,2.7755575615628914e-17,16
19d200ca-fb01-5f04-9f17-4e7cff621e08_2,0,1,-1.3877787807814457e-17,16
7e13bbd5-6466-5aed-b952-8019b02dd0bc_8,0,0,-6.938893903907228e-18,58
4cd09aad-8ef1-5e18-bc59-3a947e061e5c_11,0,0,-4.163336342344337e-17,59
4a2a7a8b-1c0a-5c62-a609-153deb83060b_7,1,0,-1.0495077029659683e-16,1
a6ef3fa5-f1f3-59e0-b0b0-8940bc75aab5_2,0,0,1.3877787807814457e-17,60
683fcdec-a977-5367-8583-1828acabc83a_20,0,1,4.336808689942018e-19,14
393635d4-4a01-5493-ab3f-30a69a355aa5_3,1,0,5.551115123125783e-17,16
4059dacd-25d1-50ad-b4a6-b43e8dca224d_4,0,2,1.0408340855860843e-17,39
aea155a0-9aa3-586d-b42a-7b9a86f42a78_4,0,0,3.469446951953614e-18,61
13c726c9-bfb5-5c93-9cab-2af3c5691409_2,1,4,-2.0816681711721685e-17,16
13c726c9-bfb5-5c93-9cab-2af3c5691409_5,1,0,-1.8041124150158794e-16,16
13c726c9-bfb5-5c93-9cab-2af3c5691409_6,1,0,-1.5959455978986625e-16,16
13c726c9-bfb5-5c93-9cab-2af3c5691409_7,1,0,-1.3877787807814457e-16,16
0871898f-24fe-5dd0-af57-b5ad8b9c1c26_2,0,0,4.336808689942018e-19,62
fb5a8611-40fb-502b-acf3-0fb5e3c07a44_1,1,3,-1.3877787807814457e-17,63
fb5a8611-40fb-502b-acf3-0fb5e3c07a44_2,1,1,1.5265566588595902e-16,63
fb5a8611-40fb-502b-acf3-0fb5e3c07a44_3,1,0,6.938893903907228e-17,63
fb5a8611-40fb-502b-acf3-0fb5e3c07a44_4,1,0,8.326672684688674e-17,63
aea155a0-9aa3-586d-b42a-7b9a86f42a78_1,0,3,5.551115123125783e-17,10
aea155a0-9aa3-586d-b42a-7b9a86f42a78_6,1,1,0.0,10
f381cb04-0776-5651-b432-9d88cd65a3e6_2,1,0,6.938893903907228e-18,10
8e7cdd58-eccf-5ee5-acc1-7dd2937fd6eb_6,0,1,-1.3877787807814457e-17,64
8e7cdd58-eccf-5ee5-acc1-7dd2937fd6eb_7,1,0,-3.469446951953614e-18,64
8e7cdd58-eccf-5ee5-acc1-7dd2937fd6eb_5,0,0,-8.673617379884035e-19,65
31455daa-7058-5a72-9531-bfe5b5aee0f1_2,0,1,3.469446951953614e-18,4
4cd09aad-8ef1-5e18-bc59-3a947e061e5c_6,0,1,2.7755575615628914e-17,66
4cd09aad-8ef1-5e18-bc59-3a947e061e5c_7,1,0,-6.938893903907228e-18,66
c5239a57-f27e-502a-a4fd-fb37c883317b_7,0,0,-2.0816681711721685e-17,67
5285287c-3372-5e34-a3f5-65739fa845d9_6,0,1,1.3877787807814457e-17,18
aea155a0-9aa3-586d-b42a-7b9a86f42a78_5,0,0,-3.469446951953614e-18,68
13c726c9-bfb5-5c93-9cab-2af3c5691409_8,0,1,-4.163336342344337e-17,16
14a4c38b-558f-5658-a87f-bd0d5b4acdcb_1,0,2,-4.336808689942018e-19,27
ce74d48e-be27-5096-8c57-f89a6a724ccf_9,0,2,-6.938893903907228e-18,20
